,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
531,Y,Single,Y,175,1828.83924200,5705.472631
532,Y,Single,N,174,726.24811500,1900.639716
533,Y,Single,N,54,971.01899200,1964.688050
534,Y,Single,Y,67,1481.69109000,4683.388237
535,Y,Multiple,Y,145,724.72501500,10502.529270
536,Y,Multiple,N,80,18796.78634700,217520.433104
537,N,Single,Y,136,3138.10620600,22598.901639
538,N,Single,Y,1,4086.66980900,28053.560960
539,N,Single,Y,29,6050.38814500,26490.792515
540,Y,Single,N,96,2648.84796000,7595.959466
541,Y,Multiple,Y,164,567.52554800,8647.487814
542,Y,Multiple,Y,127,1614.91247500,16299.759812
543,Y,Single,N,63,1699.38039800,4357.784140
544,N,Single,Y,71,4002.86499700,22014.068151
545,Y,Multiple,Y,82,2950.47244100,25603.108892
546,Y,Single,N,152,1417.08106000,3800.295952
547,Y,Single,Y,11,2299.80162400,8676.679913
548,Y,Single,Y,162,2501.61360200,7338.596170
549,N,Multiple,N,76,30737.05398600,336766.215088
550,N,Multiple,N,39,22689.22309000,342582.304377
551,N,Multiple,Y,187,4995.74437100,56892.563473
552,Y,Multiple,N,133,21657.20232000,271371.098953
553,N,Single,Y,66,14056.51151000,64665.223368
554,Y,Single,N,21,11740.02921800,21757.061982
555,Y,Multiple,Y,159,2809.12928200,16884.970789
556,Y,Single,Y,180,2376.48575200,6049.627679
557,N,Single,N,113,13518.49431400,54409.519294
558,Y,Single,N,100,2405.24259500,4882.130980
559,Y,Single,N,106,7038.05066000,16250.507945
560,N,Multiple,N,103,50512.32949400,455415.824856
561,Y,Multiple,N,44,6490.81910800,106325.330361
562,Y,Single,N,9,29483.69590700,58646.378116
563,Y,Multiple,N,45,893.32117100,15039.557850
564,Y,Single,N,114,816.99307500,1942.951861
565,N,Single,N,93,8815.18473200,36642.333413
566,N,Single,Y,60,8502.31408000,50377.052574
567,Y,Single,N,47,754.24795000,3591.756800
568,N,Single,N,98,5987.04161000,32633.923206
569,N,Single,N,132,8535.86231600,28452.223176
570,N,Single,N,74,8069.34294800,17881.003320
571,Y,Single,Y,165,3414.00299400,9656.736365
572,N,Multiple,N,77,11527.13070300,218488.422825
573,N,Single,Y,54,3651.38434400,23946.991977
574,Y,Multiple,Y,48,1970.09023400,19690.645493
575,Y,Single,Y,21,2265.67424500,7368.629440
576,Y,Single,N,28,3705.14775000,17991.310524
577,Y,Single,Y,185,1127.65252200,4299.689564
578,Y,Single,Y,89,837.12955000,2437.958975
579,N,Single,Y,76,8996.83229700,37722.307258
580,N,Single,Y,39,5133.57264600,26472.322928
581,N,Multiple,N,75,12588.69881400,116830.740805
582,Y,Multiple,Y,78,1480.76169000,14283.030442
583,Y,Single,Y,157,870.60904200,3415.161480
584,N,Single,N,161,5652.61723300,16405.990479
585,Y,Multiple,Y,81,642.68670500,12988.316580
586,N,Multiple,Y,184,3287.20014200,31835.099926
587,Y,Single,N,57,6914.52668500,20511.950373
588,Y,Single,N,15,508.97834000,1772.846534
589,N,Single,N,58,12733.06509800,58562.635290
590,N,Multiple,N,99,23434.79432300,339547.486287
591,N,Single,N,186,7444.67721100,19984.409737
592,N,Single,Y,182,7610.77741600,35518.601070
593,Y,Multiple,N,179,5702.05885200,85604.542412
594,Y,Multiple,N,189,6916.66900400,91182.194950
595,Y,Multiple,N,10,36352.03178500,333081.037104
596,N,Multiple,N,182,63073.67793200,422422.574220
597,Y,Single,N,86,27320.32228000,61230.288111
598,Y,Single,N,90,7740.46305500,18430.401375
599,N,Single,Y,138,9483.02650000,52642.721832
600,Y,Multiple,N,17,19243.30101600,240859.292842
601,N,Multiple,N,12,10415.66643000,149952.665276
602,N,Single,N,2,14246.43666100,48643.887556
603,Y,Single,Y,98,1679.18073000,6292.132827
604,N,Single,Y,103,4583.26059000,26160.905217
605,Y,Multiple,N,118,6580.23257300,128937.033183
606,Y,Single,Y,13,1767.07407800,5323.220452
607,N,Single,N,165,7151.51286600,17664.015605
608,Y,Multiple,Y,51,239.62985000,3399.715431
609,Y,Single,Y,74,2683.50520000,6325.243597
610,N,Multiple,N,84,42552.00342600,454697.305544
611,N,Single,Y,137,6383.04768000,38409.134222
612,N,Single,N,187,13843.18364800,29917.318051
613,Y,Multiple,Y,32,938.90606500,15942.155727
614,Y,Single,Y,22,1765.63375000,6194.610415
615,Y,Multiple,Y,105,2176.04993800,26883.361956
616,Y,Multiple,Y,104,1014.65200000,7964.104570
617,Y,Multiple,N,71,5022.56735000,61011.056265
618,Y,Multiple,Y,13,875.96135000,8867.645336
619,N,Multiple,Y,139,2283.52129300,20034.528029
620,N,Single,Y,8,3197.02640600,20772.087685
621,Y,Single,Y,115,288.62460000,1765.831261
622,N,Multiple,Y,32,7453.16413700,64593.786494
623,Y,Single,N,17,2294.33529400,5518.092640
624,N,Single,Y,9,3323.58140200,20593.875475
625,Y,Multiple,Y,55,943.14848000,10084.199936
626,N,Single,Y,22,2698.76771600,18848.522974
627,N,Multiple,Y,104,363.62909800,3802.210496
628,Y,Single,N,61,10585.82907900,22430.288419
629,N,Single,Y,85,9135.01576400,45060.338256
630,Y,Multiple,N,185,5909.21627800,80504.897022
631,Y,Multiple,N,174,4134.92223000,55104.354714
632,N,Multiple,Y,138,4472.17583500,60990.055966
633,Y,Multiple,Y,38,688.96795100,8385.450895
634,N,Single,N,141,18794.18427800,47739.923333
635,Y,Single,N,171,9761.94059500,27184.897730
636,N,Single,Y,68,4594.88092300,24641.094328
637,N,Single,N,135,23789.17819700,90119.673740
638,N,Single,Y,99,11892.54610800,56024.706894
639,N,Single,Y,179,4929.56239200,29663.862097
640,N,Multiple,N,189,12014.99371700,210331.005252
641,N,Single,N,68,5471.49010500,28465.262884
642,Y,Single,N,104,2445.33161500,7955.992776
643,Y,Multiple,Y,62,2628.71605000,25052.872642
644,Y,Single,N,32,2183.02266400,5528.280188
645,Y,Single,Y,166,3571.40398800,9734.725548
646,Y,Single,Y,27,3084.50101000,8682.305808
647,Y,Single,Y,69,1211.55920200,4318.061127
648,N,Single,N,53,14116.41606900,59103.184462
649,Y,Multiple,Y,5,1840.87286200,18903.528721
650,N,Multiple,N,149,48947.69411400,332820.559919
651,Y,Multiple,Y,90,3006.03401700,27693.999818
652,N,Single,N,197,15016.38848400,37222.948906
653,Y,Multiple,N,172,42473.41319300,506548.282334
654,N,Multiple,Y,33,2157.90419000,29797.959663
655,Y,Multiple,N,51,3449.88094000,32955.672037
656,Y,Single,N,13,1957.71324900,5118.745225
657,N,Single,N,167,4138.22251500,13281.887813
658,Y,Multiple,Y,170,263.66340000,3745.016854
659,N,Multiple,N,67,19157.38999500,211119.617540
660,Y,Multiple,Y,138,4028.59850000,51254.572416
661,Y,Multiple,Y,36,251.45460500,4289.843615
662,N,Single,N,137,5503.19719900,23820.491764
663,Y,Multiple,N,32,10395.45413000,172471.611568
664,N,Multiple,N,139,10039.12434300,119102.136950
665,N,Multiple,N,68,14306.26631800,149571.542054
666,Y,Multiple,N,104,5086.91344200,71093.556909
667,Y,Single,N,122,2897.26421700,6663.038524
668,N,Single,Y,142,7689.39631900,36481.897075
669,Y,Single,Y,153,1333.83970000,5619.742168
670,Y,Multiple,N,111,42846.95166200,463783.921490
671,N,Multiple,N,48,8517.54031600,151302.137427
672,Y,Multiple,Y,70,2900.65733500,23004.044154
673,Y,Multiple,N,197,16786.29640800,168002.536979
674,Y,Single,Y,119,4210.70800000,14185.250626
675,N,Single,N,19,27717.81200900,89017.342313
676,Y,Multiple,Y,77,586.73095500,5811.344220
677,Y,Multiple,Y,57,1643.83431900,16159.925738
678,N,Single,Y,15,11082.60061800,55545.256576
679,N,Multiple,N,146,20546.77083400,218142.486013
680,N,Multiple,Y,51,3487.99838300,26743.737402
681,N,Multiple,Y,172,1445.39397500,30729.129047
682,N,Multiple,N,66,45052.83123600,390010.485356
683,N,Multiple,N,175,7559.79392100,122582.733381
684,N,Multiple,Y,29,3384.12216100,28373.336186
685,N,Single,Y,75,3594.08644000,20332.440372
686,N,Multiple,Y,144,8091.20829800,94070.493051
687,N,Multiple,Y,120,3444.50495100,32726.749872
688,N,Multiple,Y,160,2717.31170400,26492.603637
689,Y,Single,N,93,4668.35877200,11729.408221
690,N,Multiple,Y,110,1381.86589300,17465.440593
691,Y,Single,Y,91,3672.18264200,11557.858574
692,Y,Single,Y,60,253.45455000,1388.056100
693,Y,Single,N,74,1261.37200000,2193.141132
694,N,Single,Y,91,2396.53234800,18972.315513
695,Y,Single,N,166,24587.14085100,50656.264738
696,Y,Single,N,59,638.78702500,1546.964802
697,N,Single,N,158,10564.06661900,28995.339652
698,Y,Multiple,N,102,16938.30003500,230101.938579
699,Y,Single,N,156,1885.95256000,6603.980507
700,N,Single,N,62,9392.17392200,41310.491157
701,N,Multiple,N,101,10845.77111500,172107.854034
702,Y,Single,N,7,1697.26109500,4547.605786
703,Y,Single,N,189,8714.81267000,15844.348280
704,Y,Single,Y,139,4393.28819500,13161.318412
705,N,Single,N,88,9264.16097300,29017.532791
706,N,Single,N,121,20304.00537200,70039.462785
707,N,Multiple,N,153,24229.59484200,219137.085230
708,Y,Single,N,187,7037.61894000,106876.926172
709,Y,Single,Y,137,1944.79817500,4441.793049
710,Y,Multiple,Y,43,374.17870000,4235.366012
711,N,Multiple,N,81,9819.41141400,151663.733090
712,N,Multiple,N,126,14364.11761900,198830.960657
713,N,Multiple,N,154,14525.54129500,282850.804578
714,N,Single,N,70,23895.55650000,45123.207554
715,N,Single,Y,190,6470.64397600,49340.307014
716,N,Single,N,157,16632.15563800,41605.070471
717,N,Multiple,N,47,5959.47067600,67103.440010
718,N,Multiple,Y,71,1888.04586900,22032.474288
719,Y,Single,Y,161,13864.42051300,28242.370741
720,Y,Single,N,48,2900.83992900,9025.508200
721,N,Multiple,Y,42,541.93528400,9153.775277
722,N,Single,N,66,8309.00197900,32909.958906
723,N,Single,N,181,7880.64612700,32479.508579
724,N,Single,Y,143,6437.39891600,32641.653108
725,N,Multiple,N,79,66603.76980700,795905.173066
726,Y,Single,N,180,1713.23131200,3383.444446
727,N,Single,Y,135,3541.05498500,22292.930395
728,Y,Multiple,N,3,15734.25299000,116267.715648
729,N,Single,N,33,18364.57124500,39630.710107
730,Y,Single,N,177,8418.05042900,47537.519932
731,Y,Multiple,Y,95,3301.71241900,37977.105658
732,N,Single,Y,124,3480.48637500,20301.090650
733,N,Single,Y,35,7722.24552700,40053.158693
734,N,Multiple,Y,186,1625.88266000,28826.246669
735,N,Single,N,107,18366.53872900,44440.355423
736,Y,Multiple,Y,9,2621.43665800,29462.505042
737,Y,Multiple,Y,142,1647.23012200,11958.231185
738,Y,Single,N,67,11032.69134900,18809.328800
739,N,Single,N,191,3236.24028000,7649.510200
740,N,Multiple,N,10,21725.65466800,199182.418681
741,Y,Single,Y,163,997.15962400,3601.195702
742,Y,Single,Y,1,1831.64399100,7851.798275
743,Y,Single,Y,136,1739.45080600,5975.862280
744,N,Multiple,Y,89,2372.99414800,27493.714841
745,Y,Multiple,N,146,51821.72818600,556947.060005
746,Y,Single,N,42,183081.20763700,272900.700222
747,N,Single,N,153,4943.23647000,13106.848397
748,Y,Single,N,165,13722.37602700,30675.245524
749,Y,Single,Y,7,2447.65298300,9346.228216
750,N,Multiple,Y,59,3021.26096100,43938.805922
751,Y,Multiple,N,72,6731.38368200,99858.064714
752,N,Single,N,16,4953.43058500,14370.850063
753,N,Single,Y,80,6623.03966700,38542.113536
754,N,Single,Y,84,9216.71649200,42755.016599
755,Y,Multiple,Y,37,3447.75598000,33006.537492
756,Y,Multiple,Y,130,1642.46373000,15802.630834
757,N,Single,N,143,4452.45042400,8996.798472
758,N,Single,N,78,11460.37688900,35425.252260
759,N,Single,N,163,11579.83382500,28434.661640
760,Y,Single,N,178,1615.26797700,6362.474625
761,N,Single,N,1,5036.70187000,13565.094358
762,Y,Single,Y,56,2086.06297200,8776.389105
763,N,Multiple,N,165,21630.36559300,177122.758855
764,N,Multiple,N,30,8774.46809600,108680.066149
765,Y,Multiple,Y,74,1606.55172300,11655.776020
766,N,Multiple,N,42,12369.06946900,111682.457049
767,Y,Single,N,133,27826.27756700,60195.233498
768,N,Multiple,N,168,15017.86364000,164030.175585
769,N,Single,Y,43,3622.69371900,19185.053534
770,Y,Single,Y,105,1658.73374600,7269.464998
771,Y,Multiple,Y,132,476.38924000,5355.372726
772,N,Multiple,N,6,12067.28676700,150127.798457
773,Y,Multiple,N,73,17361.07403400,229804.782511
774,N,Multiple,Y,151,1213.12125100,24057.443928
775,Y,Multiple,Y,64,6172.05588900,56725.127086
776,N,Single,Y,169,5703.13259500,40022.595732
777,Y,Single,N,40,464.75575000,1610.946046
778,N,Single,Y,173,5875.58178800,32118.919426
779,Y,Multiple,N,127,6834.41336900,97265.712438
780,Y,Single,Y,159,2560.50674800,5979.483536
781,Y,Multiple,Y,179,655.22555000,6890.810408
782,N,Multiple,N,89,18797.40707400,225048.557648
783,Y,Single,N,168,5002.33717300,11076.746775
784,N,Single,N,40,24479.95437000,83088.641046
785,N,Multiple,Y,101,1642.43115600,20239.094323
786,Y,Single,Y,189,1393.53547600,4084.557448
787,Y,Multiple,N,199,36375.38028100,316013.451018
788,N,Single,Y,88,3870.27176600,24605.332941
789,Y,Single,N,184,8308.22949600,16996.055104
790,N,Single,Y,45,7154.30675300,33641.149986
791,Y,Multiple,Y,102,1454.21377000,20706.271378
792,Y,Multiple,Y,108,1585.82352000,20441.637599
793,N,Single,N,44,4819.84531000,16294.584350
794,Y,Single,Y,84,1463.98704500,4545.981951
795,Y,Single,N,78,7748.92395900,17664.995498
796,N,Single,Y,65,3467.30037700,16713.113146
797,N,Single,N,184,7106.02019700,21469.746952
798,N,Multiple,N,199,7738.27517700,71733.273624
799,N,Multiple,Y,102,2365.00890500,31009.087882
800,Y,Single,N,163,1819.69545000,4017.520420
801,N,Single,Y,189,5408.80635100,26834.276751
802,N,Multiple,N,131,28381.48160200,405327.832456
803,Y,Multiple,N,83,7085.54985900,129077.515799
804,Y,Single,Y,30,292.14827000,1473.117750
805,Y,Multiple,N,8,10281.90457600,90481.578179
806,Y,Multiple,N,194,61741.19827000,782616.396078
807,Y,Multiple,N,125,6963.06544100,96074.063186
808,N,Multiple,Y,83,1207.70760600,18327.513555
809,N,Single,Y,98,3285.49493700,28557.116180
810,Y,Multiple,Y,73,2114.88281900,26224.734815
811,Y,Single,Y,0,688.18760000,2389.599176
812,Y,Single,Y,47,828.00845000,5468.752350
813,Y,Single,Y,154,1501.36041600,4619.096184
814,N,Multiple,N,129,6719.84396700,150501.033346
815,Y,Single,Y,83,791.55753700,3196.912580
816,Y,Multiple,N,158,15469.04776200,137529.496448
817,N,Single,N,28,12072.38996400,35055.780549
818,Y,Single,Y,199,4964.57178900,17280.852570
819,Y,Multiple,Y,123,1607.67059300,13347.890228
820,Y,Single,Y,116,2663.39606500,8937.730269
821,Y,Multiple,N,150,17909.08669400,231392.322191
822,Y,Multiple,N,191,6851.08208200,115954.220349
823,Y,Single,Y,25,573.14750000,3622.388450
824,Y,Single,Y,52,1767.96877600,6008.850400
825,Y,Multiple,N,29,5620.32641000,109934.647298
826,Y,Single,Y,68,6435.02483500,15058.730835
827,Y,Multiple,N,136,8209.83517400,109860.882088
828,Y,Single,N,135,25487.10262600,52724.964224
829,Y,Single,N,141,5815.29119300,19534.147665
830,N,Multiple,Y,64,1316.21110000,18159.470863
831,N,Multiple,N,183,25338.13702200,239018.774419
832,N,Single,N,193,11052.07191500,26694.510176
833,Y,Multiple,Y,99,2165.66017800,19152.813269
834,Y,Single,Y,58,1556.81906400,6607.889826
835,Y,Single,N,134,3768.75539300,8436.787258
836,Y,Single,Y,186,545.12690000,1572.725113
837,N,Single,N,198,3432.29351500,10299.748198
838,N,Multiple,N,100,43758.41143000,496127.982786
839,Y,Single,N,92,4998.80706000,12386.165958
840,N,Multiple,Y,152,1621.83033500,20441.183383
841,N,Single,N,82,1541.64778200,7614.827664
842,Y,Multiple,Y,20,2469.33194400,23661.534888
843,N,Multiple,Y,106,1406.49443700,26201.749283
844,Y,Single,Y,149,3586.66015000,9718.618793
845,Y,Multiple,N,157,10007.55460600,139352.632425
846,N,Multiple,N,34,9785.31581800,224941.832196
847,N,Single,Y,92,5331.96125400,31237.972016
848,Y,Multiple,N,23,15572.02922400,307958.406428
849,N,Single,N,177,11235.19627400,30094.003077
850,N,Multiple,Y,95,2120.23523200,24386.803537
851,N,Multiple,Y,115,1766.67451600,24269.545844
852,N,Single,N,180,4624.73597200,16128.494927
853,Y,Multiple,N,82,26010.76602600,238885.554677
854,N,Multiple,N,118,7996.83203600,138710.370739
855,Y,Single,N,56,10403.43866000,30907.086937
856,N,Multiple,Y,21,549.07243600,10360.617233
857,Y,Multiple,N,24,8302.52823100,89643.499608
858,N,Multiple,Y,8,895.90638900,12382.305476
859,Y,Multiple,N,54,9241.08520400,127304.489210
860,N,Multiple,Y,137,2088.28860400,33333.894946
861,Y,Multiple,Y,175,1317.93429200,11766.031548
862,Y,Single,Y,177,1180.04016200,6105.070964
863,N,Single,Y,2,8808.56828900,38920.551023
864,Y,Multiple,N,137,20299.14098000,218420.517332
865,Y,Single,Y,82,1889.93265100,7738.946708
866,Y,Multiple,Y,196,2529.64165000,17531.776119
867,Y,Single,Y,164,693.24834500,2827.875774
868,N,Multiple,N,125,20625.84369000,389966.184278
869,N,Single,Y,154,5653.36120100,34868.801486
870,N,Multiple,N,194,21033.30660300,209515.258091
871,Y,Single,Y,127,1242.41089500,3780.853850
872,Y,Multiple,Y,35,3007.71851200,29163.918299
873,Y,Single,N,120,18691.36738000,37479.399150
874,N,Single,Y,47,3242.47136300,23588.225966
875,N,Multiple,N,35,41994.16055700,368336.242919
876,N,Single,Y,56,3564.54568600,16835.275347
877,Y,Single,Y,87,1113.81580000,4512.769728
878,N,Single,N,75,4002.78078000,15175.479639
879,Y,Single,Y,81,703.45610000,2643.627420
880,Y,Multiple,Y,47,330.02901300,5993.712553
881,N,Single,Y,193,7333.06584200,32173.596342
882,N,Multiple,N,164,11532.20850900,115801.175283
883,Y,Single,Y,70,2583.89910900,6691.859268
884,Y,Single,Y,77,901.46149000,3891.324794
885,Y,Multiple,Y,154,1801.01853500,13563.367824
886,N,Multiple,Y,98,846.37100200,15254.216491
887,Y,Single,N,2,13527.25678600,31569.469912
888,N,Multiple,Y,96,3623.17444000,48829.268405
889,Y,Single,N,0,1070.05475000,3485.552523
890,N,Multiple,Y,52,1183.76215800,13336.279536
891,Y,Single,N,30,1633.53844200,4421.661072
892,N,Multiple,N,174,12385.57970100,131835.597228
893,N,Multiple,Y,36,2103.17897100,23274.375684
894,Y,Single,Y,62,1808.39378000,4552.044618
895,Y,Single,Y,88,2468.46210500,7121.955854
896,N,Multiple,N,198,2340.81918900,35695.062293
897,N,Multiple,N,143,31880.75323900,225646.423058
898,Y,Multiple,N,92,19446.11035800,242913.887692
899,Y,Multiple,N,196,14365.39198200,162005.669401
900,N,Single,Y,21,2699.70440200,14900.686725
901,Y,Multiple,N,84,28355.17927100,305523.532713
902,N,Multiple,Y,132,1739.35878400,24618.897970
903,N,Multiple,N,7,12510.10022100,119738.422322
904,Y,Single,N,191,1338.45022100,3785.934530
905,Y,Single,N,107,5985.43181000,23426.785128
906,Y,Multiple,N,47,1602.70379300,35640.754381
907,N,Multiple,N,87,30283.84729300,289376.109468
908,N,Single,Y,10,6688.07781000,41861.799097
909,Y,Single,N,70,19191.74236900,39012.974192
910,Y,Single,Y,80,3969.48625700,12170.892575
911,Y,Multiple,Y,59,938.11671500,8429.663863
912,N,Multiple,Y,165,1534.49098700,18828.000459
913,N,Multiple,Y,30,1829.00865400,22949.438921
914,N,Multiple,N,20,48421.19805400,436007.485151
915,N,Multiple,N,113,31286.72109500,449779.712623
916,Y,Multiple,N,100,53128.78654300,717402.844162
917,N,Single,N,164,14901.53671000,30623.795912
918,N,Single,N,97,12339.27921800,31511.632324
919,Y,Multiple,Y,185,943.42858400,10351.330707
920,N,Multiple,N,80,42570.35031400,627780.964038
921,Y,Multiple,N,107,7373.64902100,89160.494173
922,N,Multiple,N,159,13255.94883900,200924.477118
923,N,Single,N,96,11633.08674300,29796.720811
924,N,Single,Y,13,4988.03749000,34109.365137
925,N,Multiple,N,2,16200.37802600,130900.288928
926,Y,Multiple,Y,183,2060.92492600,24515.610832
927,Y,Single,N,87,7587.82263800,19045.172984
928,N,Single,Y,163,4366.42037800,20444.262760
929,N,Single,Y,78,3877.53713500,24785.495297
930,Y,Multiple,Y,14,2628.06231200,22525.148308
931,Y,Single,N,26,12757.05361100,119850.986926
932,N,Single,Y,168,4982.33695000,26806.071450
933,Y,Single,Y,75,758.88178000,2798.055052
934,Y,Single,N,31,6136.69870900,13810.733651
935,N,Single,N,171,3424.79958400,50761.450777
936,N,Multiple,N,29,34744.31117300,299928.569665
937,N,Multiple,N,124,3310.70724900,46005.799089
938,Y,Multiple,N,22,13238.77611400,163541.582712
939,Y,Single,N,109,1691.91450600,6079.156620
940,Y,Single,N,148,3796.02710800,11880.292349
941,N,Single,Y,130,13364.31449800,65855.394362
942,N,Multiple,N,193,25311.10725900,374044.722103
943,N,Single,Y,187,8869.72403100,48616.162182
944,N,Single,N,23,23851.25089000,42026.711236
945,N,Single,N,76,5798.08074900,15689.327433
946,Y,Multiple,Y,190,456.90350000,5010.856574
947,Y,Multiple,N,1,16192.34742100,256419.396502
948,Y,Multiple,N,143,10510.58362000,119024.577525
949,N,Single,N,59,21858.85065900,58960.844153
950,Y,Multiple,N,198,7863.76880400,93985.142378
951,Y,Multiple,N,132,4222.23730400,60206.031937
952,Y,Single,Y,10,909.03485000,2822.434983
953,Y,Multiple,N,68,19534.68456000,112640.555948
954,Y,Multiple,Y,91,2066.57049900,16715.240788
955,N,Multiple,Y,46,3490.00450700,26816.890477
956,Y,Single,N,39,3541.98335800,6745.455517
957,Y,Single,N,159,1220.14230000,3872.314387
958,Y,Single,N,199,4394.18222400,13458.410185
959,N,Multiple,Y,161,1522.45307300,22594.219666
960,N,Single,Y,101,4945.19736300,26600.290297
961,Y,Single,Y,102,2196.33040000,5664.026864
962,N,Multiple,Y,117,3633.39133200,29650.374677
963,Y,Single,Y,108,2058.03662200,7518.279276
964,N,Multiple,N,185,36620.80029100,303080.891369
965,Y,Single,N,29,1078.47485300,4369.881024
966,Y,Multiple,Y,101,978.45216500,10193.312310
967,Y,Multiple,N,87,19644.36859800,182805.575531
968,N,Multiple,N,98,5527.33982500,78580.836432
969,N,Multiple,N,132,17958.20153500,224821.021042
970,N,Multiple,Y,169,994.22097000,18675.943431
971,N,Single,N,39,3970.72908300,15406.756354
972,N,Single,N,159,1799.90132400,4952.768179
973,Y,Single,N,157,1202.16030000,2643.847388
974,N,Multiple,N,178,32945.52234600,259295.629232
975,Y,Single,Y,17,1816.68941500,5788.982920
976,N,Single,Y,12,3818.41437600,27370.137262
977,N,Single,Y,5,5646.54567500,30804.105039
978,Y,Single,N,123,9001.36691700,16204.617878
979,Y,Single,N,179,3548.61510300,18316.087629
980,N,Multiple,N,64,8193.24079100,114696.087930
981,N,Single,N,99,13160.41166000,29974.142190
982,N,Single,Y,46,6117.81551400,27373.413090
983,Y,Single,Y,158,2329.57998700,5733.904081
984,Y,Single,N,68,2444.99323400,5242.882986
985,N,Single,Y,96,4625.47714600,32091.711353
986,Y,Single,N,183,11771.42140600,23885.440792
987,N,Multiple,Y,107,2792.39639500,41801.540051
988,Y,Multiple,Y,140,3091.27836200,24833.635554
989,Y,Multiple,Y,11,1455.68521200,16100.688336
990,N,Multiple,N,82,10840.10481700,108414.759757
991,Y,Single,Y,59,982.94720000,2448.921255
992,N,Multiple,Y,183,3798.99266100,34598.214381
993,N,Single,N,87,3109.10074000,10416.025222
994,Y,Single,Y,110,4032.29019100,11036.859732
995,Y,Multiple,N,162,17119.29843400,234783.743733
996,Y,Single,N,51,784.17611500,2897.724743
997,Y,Multiple,N,11,7499.25158600,94437.065161
998,Y,Single,Y,144,3960.91512300,10851.777322
999,N,Multiple,Y,25,3824.24682000,30538.052572
1000,N,Single,N,139,9711.41175300,39954.988030
1001,Y,Multiple,Y,88,2415.74233500,21611.206660
1002,N,Multiple,N,72,13394.60773500,181140.943981
1003,Y,Single,N,83,1760.22170300,5223.043216
1004,N,Single,N,118,33230.87013200,84911.709856
1005,Y,Multiple,N,18,21884.54117100,374697.578154
1006,Y,Multiple,Y,147,7005.88184300,77387.343908
1007,N,Multiple,Y,48,1813.10838300,38048.157191
1008,Y,Multiple,Y,53,1093.91151300,13177.158572
1009,N,Single,N,131,6904.01233400,22614.617567
1010,N,Single,Y,67,6615.28238900,33714.933688
1011,Y,Multiple,Y,12,1761.92749500,16667.608471
1012,N,Single,Y,175,3953.24356500,21451.248520
1013,N,Multiple,Y,145,946.24292500,22760.406137
1014,Y,Single,Y,140,2934.91887600,7052.579392
1015,Y,Multiple,Y,4,1635.34327500,13555.765787
1016,Y,Multiple,N,195,25870.23681100,245225.091490
1017,N,Multiple,N,135,21581.70272300,245428.190055
1018,N,Multiple,N,156,20503.78273500,205965.119242
1019,N,Single,N,114,12923.54390000,39701.078097
1020,N,Single,Y,186,4919.80238800,27695.462790
1021,N,Single,N,112,13612.21856200,47024.515260
1022,N,Multiple,Y,99,3037.30054400,39835.299929
1023,N,Multiple,Y,179,1943.14935400,18847.707148
1024,Y,Single,Y,150,1237.47351200,4324.500301
1025,Y,Single,Y,9,2825.59874600,7185.193763
1026,Y,Multiple,Y,40,191.00855000,3532.685511
1027,Y,Single,Y,122,1349.43356000,4527.704944
1028,N,Multiple,N,172,13342.45673100,188046.218686
1029,N,Multiple,N,51,27164.12216200,266514.078826
1030,N,Single,N,13,17029.16041400,87462.197122
1031,Y,Single,Y,188,2539.35562500,8607.327130
1032,N,Multiple,Y,180,1629.55779500,23913.181721
1033,N,Multiple,Y,166,1548.46939800,23127.370062
1034,Y,Multiple,N,134,24810.24488000,231408.517642
1035,Y,Single,N,16,9849.20531600,22076.240186
1036,Y,Multiple,Y,68,1022.25503300,9343.170542
1037,Y,Multiple,Y,58,1555.09422000,19780.850547
1038,N,Multiple,N,71,17938.40395800,168097.950139
1039,Y,Single,Y,76,1513.23819000,11060.417071
1040,Y,Single,N,161,184420.54673400,273528.506045
1041,N,Single,Y,145,4916.44555500,33046.141279
1042,Y,Multiple,N,75,6173.80720100,114870.575355
1043,N,Single,Y,122,8620.37042500,35477.480853
1044,Y,Single,Y,39,1288.20150000,3383.601823
1045,Y,Single,Y,34,1840.75926500,7569.526136
1046,N,Multiple,Y,45,3640.49318000,43749.368807
1047,N,Single,N,145,6691.64936800,20640.210676
1048,Y,Multiple,N,56,13709.39918100,155559.424814
1049,Y,Single,N,76,4295.63338000,10192.998969
1050,N,Single,N,105,6396.73332500,23965.253645
1051,N,Single,N,150,20116.22369100,51581.378561
1052,Y,Multiple,Y,165,3586.66887900,38872.143117
1053,N,Single,N,122,15075.79332700,35406.632956
1054,Y,Single,N,4,2493.40325500,8671.995437
1055,Y,Single,Y,121,1841.36409500,7109.874975
1056,Y,Multiple,Y,153,1145.58362100,15585.985174
1057,Y,Multiple,N,28,7570.27749200,127500.819494
1058,N,Single,N,7,2247.46878500,5525.592518
1059,N,Multiple,Y,6,2747.54865400,29484.208452
1060,Y,Multiple,Y,21,2429.07381200,20794.527902
1061,N,Single,N,156,2708.22128400,6406.764624
1062,Y,Single,Y,40,682.68338700,3869.533505
1063,N,Multiple,N,158,21389.52812200,427805.020764
1064,N,Multiple,Y,123,6792.25887600,63998.910479
1065,Y,Multiple,N,166,21381.54650900,281983.104586
1066,N,Single,N,10,6106.44503100,13166.534105
1067,N,Single,Y,159,9302.57307300,45020.652981
