,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
121,N,Multiple,Y,18,2739.48760600,37059.849984
122,Y,Single,Y,73,1376.40411200,3963.307525
123,N,Multiple,Y,72,1524.66315700,24536.281277
124,N,Multiple,Y,197,2333.74404500,32538.736069
125,N,Single,Y,152,2887.49306000,17960.837865
126,Y,Single,Y,8,3119.39670100,10943.963538
127,Y,Single,N,121,2323.36370000,6599.325355
128,N,Multiple,N,9,4163.70332300,69128.385395
129,Y,Multiple,N,114,4181.85462200,66728.223941
130,N,Multiple,N,142,36739.17925200,460033.594809
131,N,Multiple,N,122,53359.08156300,570268.472863
132,N,Single,N,25,11218.39331900,30591.733963
133,N,Multiple,Y,58,3416.55183600,29543.032495
134,N,Single,Y,69,5905.67241700,33251.107273
135,N,Multiple,N,86,26650.77632000,406405.907581
136,N,Multiple,Y,90,6563.62220100,74297.153854
137,Y,Multiple,Y,49,255.73870000,5513.996950
138,N,Multiple,N,52,5703.80557300,75902.255392
139,Y,Single,N,132,12694.78794600,42604.026147
140,Y,Multiple,Y,110,1662.23801800,15461.495747
141,Y,Multiple,Y,144,3433.82944000,50726.253351
142,Y,Multiple,Y,120,1174.51420000,11840.850431
143,Y,Multiple,N,103,9213.79828400,171317.798322
144,N,Single,N,192,5304.14795000,16091.533639
145,N,Single,Y,118,4786.33452100,31076.010377
146,N,Multiple,Y,63,2651.60585400,31113.125116
147,Y,Single,Y,152,1045.99198500,3803.516452
148,Y,Single,Y,196,2146.25097600,7387.168422
149,Y,Multiple,Y,18,795.77205800,12182.547287
150,Y,Multiple,Y,72,617.11930000,9218.450238
151,Y,Single,Y,106,632.08440000,2649.946125
152,N,Multiple,Y,148,3169.17048800,32874.927193
153,N,Single,Y,170,5492.04198300,28855.523180
154,N,Single,Y,155,3777.71685200,25007.923087
155,N,Multiple,Y,116,1842.94246900,23838.007493
156,Y,Single,Y,169,1421.41317200,5428.090177
157,Y,Multiple,N,53,19327.23166100,213222.204028
158,Y,Single,N,73,2400.67658500,6537.908262
159,Y,Multiple,N,167,51218.93596200,808146.346839
160,Y,Multiple,N,94,6369.08307500,92015.851846
161,N,Multiple,Y,191,6525.41574400,67981.418776
162,Y,Single,Y,64,4267.64160800,11857.354130
163,Y,Multiple,N,98,9991.09270000,149022.278987
164,Y,Multiple,Y,93,2049.55682000,22016.074117
165,Y,Single,N,153,1621.82492000,5038.879980
166,N,Multiple,N,144,78111.89376100,1100474.320834
167,N,Single,Y,72,8386.03412400,39828.397325
168,N,Multiple,N,160,45095.88712700,768830.233919
169,N,Single,Y,41,6713.31950300,40549.305593
170,N,Single,Y,178,4342.83698000,34666.152871
171,N,Multiple,N,109,37315.54309100,342460.110327
172,Y,Multiple,N,151,2846.36677100,56844.040592
173,Y,Multiple,Y,52,1539.90018100,15372.866857
174,Y,Multiple,N,181,11903.02244400,175300.021535
175,Y,Multiple,N,33,11972.96662000,145271.388293
176,Y,Multiple,Y,1,1975.26811100,18572.580130
177,N,Single,N,5,3073.90214000,7890.406573
178,N,Multiple,N,27,11127.12335800,186711.567307
179,N,Single,Y,151,3863.27230700,23081.983206
180,N,Single,N,6,6900.59527200,22823.801439
181,Y,Single,Y,183,2835.39873100,10134.500224
182,N,Single,N,29,12039.00365500,35923.566102
183,Y,Single,N,1,36541.69999000,102458.905804
184,Y,Multiple,Y,28,672.55577600,8498.279170
185,N,Single,Y,62,7138.99275100,32947.477344
186,Y,Single,N,164,1678.09274900,4393.185233
187,Y,Single,N,82,1655.07897300,3538.752896
188,Y,Multiple,Y,83,551.27309400,5120.558692
189,Y,Single,Y,101,3065.26493200,11775.232897
190,N,Multiple,N,17,15224.48031100,253838.009359
191,Y,Multiple,Y,161,4654.66966300,22168.388216
192,N,Single,Y,121,6516.11134200,40206.557878
193,N,Multiple,Y,153,2855.81680600,24623.353620
194,Y,Multiple,Y,195,3271.96442900,27377.649316
195,Y,Multiple,N,81,9017.91422500,138081.555848
196,N,Multiple,N,56,8089.39137600,110715.021999
197,Y,Multiple,N,78,6503.50947200,73044.317328
198,N,Multiple,Y,156,2704.89029800,23160.587823
199,Y,Single,N,27,3352.85729500,7311.165080
200,N,Single,Y,112,6470.23627100,31512.000150
201,Y,Multiple,Y,71,569.57007000,6111.620834
202,N,Multiple,N,141,22327.10850900,370448.197281
203,Y,Multiple,N,171,25101.85129800,363968.897753
204,Y,Multiple,Y,84,2177.92369000,16508.231604
205,N,Multiple,Y,68,2003.86770300,21699.436544
206,Y,Single,Y,107,1738.28361800,7660.783874
207,Y,Single,Y,191,1581.44260200,4591.983581
208,Y,Multiple,N,161,36259.43383800,187645.743235
209,Y,Single,N,101,9264.37483600,31835.555515
210,N,Multiple,Y,175,1215.38151800,16217.052035
211,Y,Multiple,Y,76,1427.57309400,14185.285470
212,Y,Single,N,102,23330.38645100,48014.662562
213,N,Single,N,151,2284.37150000,7455.618130
214,N,Multiple,Y,122,5136.68650000,49428.841867
215,N,Multiple,N,28,43691.34341500,346133.675514
216,N,Multiple,Y,185,3335.42646600,30069.774283
217,Y,Single,Y,184,2227.64926200,7477.000388
218,N,Single,N,195,5518.18721000,14509.584836
219,Y,Multiple,Y,199,3192.61169400,22922.776245
220,N,Multiple,Y,54,1476.74759100,21398.312217
221,N,Single,N,41,4398.48631200,11470.745561
222,Y,Multiple,N,182,32280.86837400,130242.570580
223,N,Single,Y,6,6961.49378100,28689.600520
224,Y,Single,N,155,6714.82550300,12574.686074
225,Y,Multiple,N,148,5901.21213600,83107.117888
226,N,Single,Y,55,6243.99197600,27388.541274
227,N,Multiple,N,14,28646.26040200,254651.783576
228,Y,Multiple,N,116,32231.14844900,504483.331921
229,Y,Multiple,N,109,17539.18467200,264779.523942
230,Y,Single,N,170,1095.35246000,2970.223028
231,Y,Single,N,110,3763.85450500,8744.659278
232,N,Multiple,Y,130,4204.44982600,44425.001501
233,Y,Multiple,N,129,59004.93836200,808779.977186
234,N,Multiple,N,111,5146.25080300,85506.030493
235,N,Multiple,N,147,25036.27725500,323266.896489
236,N,Multiple,Y,70,3178.54899500,37244.475286
237,N,Multiple,Y,77,1969.71132900,22744.828861
238,N,Single,Y,119,4740.39442600,25924.988798
239,Y,Single,Y,131,3030.17792800,7944.095378
240,N,Multiple,N,85,84500.63469700,701453.699462
241,N,Multiple,Y,26,2974.83054100,43848.725387
242,Y,Single,N,158,8413.77044500,14540.555363
243,N,Multiple,N,177,20112.05262200,281907.668786
244,N,Multiple,N,49,30822.79194900,223351.360232
245,N,Single,N,18,32633.85899900,67063.473266
246,N,Single,N,196,2251.22274500,8966.642496
247,Y,Multiple,Y,86,1683.98865000,19003.058973
248,Y,Single,Y,192,3232.66775300,9916.757641
249,Y,Multiple,N,27,6360.20538200,94057.241397
250,N,Single,N,64,35206.57272700,88008.387022
251,N,Single,Y,120,6416.67255000,31218.110886
252,N,Multiple,N,140,27117.44631100,332490.800386
253,Y,Single,N,6,8994.03953100,34440.445197
254,N,Multiple,Y,112,2864.48531400,31307.983977
255,Y,Single,Y,151,442.07937800,2065.937144
256,N,Single,Y,109,9765.53467500,40157.101762
257,N,Multiple,Y,16,1611.02050700,22154.589772
258,N,Multiple,N,13,6769.51283000,81835.385606
259,N,Single,N,34,3618.59503400,16771.592792
260,Y,Multiple,N,193,2694.06761900,69670.448944
261,N,Multiple,Y,188,1990.87980300,23469.139397
262,Y,Single,Y,187,1749.26063300,8533.295689
263,Y,Single,N,23,1103.46141500,2729.999151
264,N,Single,N,86,6576.31584600,40506.263745
265,N,Single,Y,106,4147.36566900,25326.401364
266,N,Multiple,N,46,14797.82942600,108348.849431
267,Y,Multiple,N,74,18242.28204900,165949.448184
268,N,Multiple,Y,41,995.67214300,14804.021251
269,Y,Single,N,10,1273.16318800,3306.629386
270,Y,Multiple,N,5,14098.57721100,191894.512519
271,N,Multiple,Y,142,4100.70008600,44135.758616
272,Y,Single,N,140,26107.74839000,57076.945386
273,N,Single,Y,52,3550.84917300,18831.198715
274,Y,Single,Y,16,1968.20115700,5944.820754
275,Y,Multiple,Y,114,436.72260000,5103.859646
276,Y,Multiple,N,12,8923.51681500,80350.353135
