,event_id,market_id,selection_id,home_team,away_team,selection_name,sot_level,actual_sot,total_bets_laid_on_next_sot_level,total_bets_laid,next_sot_level_laid,sample_weight
12685,13254844,475548739,2292075768,Wolves,Arsenal,Andre,1,0,4,33639955,1,1.18906223269324e-07
12686,13840360,506058560,2418085929,Ipswich,West Ham,Mohammed Kudus,2,1,15,33639955,2,4.45898337259964e-07
12687,13331846,480614012,2314091695,Leicester,Brentford,Mikkel Damsgaard,1,0,1903,33639955,1,5.65696357203807e-05
12688,13621886,497193626,2378820463,Man City,Crystal Palace,Bernardo Silva,1,0,22,33639955,1,6.5398422798128e-07
12689,13177390,473528657,2283480778,West Ham,Fulham,Harry Wilson,2,1,148,33639955,2,4.39953026096497e-06
12690,13434776,484856665,2331356582,Crystal Palace,Ipswich,Liam Delap,2,1,443,33639955,2,1.31688642270776e-05
12691,13089594,470037696,2268639340,Ipswich,Newcastle,Harry Clarke,1,0,2,33639955,1,5.94531116346618e-08
12692,13770868,504929966,2413345147,Leicester,Ipswich,Axel Tuanzebe,1,0,4,33639955,1,1.18906223269324e-07
12693,13664460,500251056,2392451577,Southampton,Fulham,Kyle Walker-Peters,2,1,5,33639955,2,1.48632779086655e-07
12694,13534452,494895770,2369615035,Everton,Arsenal,Ethan Nwaneri,1,0,1,33639955,1,2.97265558173309e-08
12695,13701719,501753578,2399129767,Brighton,Newcastle,Danny Welbeck,1,0,9314,33639955,1,0.00027687314088262
12696,12866493,461455188,2232398183,Man Utd,Chelsea,Casemiro,1,0,47,33639955,1,1.39714812341455e-06
12697,13076317,469083814,2264351851,Newcastle,Leicester,Oliver Skipp,1,0,15,33639955,1,4.45898337259964e-07
12698,12309965,439637613,1961627560,Man Utd,Fulham,Christian Eriksen,1,0,44,33639955,1,1.30796845596256e-06
12699,13026593,467517791,2257681847,Man City,Nottm Forest,Ilkay Gundogan,1,0,443,33639955,1,1.31688642270776e-05
12700,13119695,470698879,2271565252,Liverpool,Leicester,Jamie Vardy,1,0,2,33639955,1,5.94531116346618e-08
12701,12309964,439783188,1962283935,Arsenal,Wolves,Ethan Nwaneri,1,0,11,33639955,1,3.2699211399064e-07
12702,13701744,501754223,2399132355,Everton,Ipswich,Omari Hutchinson,1,0,452,33639955,1,1.34364032294336e-05
12703,12565539,440579184,1965824797,Fulham,Leicester,Emile Smith Rowe,2,1,64,33639955,2,1.90249957230918e-06
12704,13303996,479430501,2308901402,Leicester,Arsenal,Ethan Nwaneri,2,1,1320,33639955,2,3.92390536788768e-05
12705,12309918,439685151,1961859180,West Ham,Aston Villa,Jaden Philogene,1,0,39,33639955,1,1.15933567687591e-06
12706,13299455,479444297,2308967244,Man City,Newcastle,Phil Foden,1,0,2,33639955,1,5.94531116346618e-08
12707,12565539,440579190,1965824360,Fulham,Leicester,Antonee Robinson,1,0,22,33639955,1,6.5398422798128e-07
12708,13671989,501499036,2398017409,Nottm Forest,Brentford,Nikola Milenkovic,1,0,74,33639955,1,2.19976513048249e-06
12709,12627894,445365988,2163687787,Aston Villa,Wolves,Pablo Sarabia,1,0,14,33639955,1,4.16171781442633e-07
12710,13149200,471004598,2273013708,Brentford,Arsenal,Keane Lewis-Potter,2,1,35,33639955,2,1.04042945360658e-06
12711,13621899,497193853,2378823568,Newcastle,Man Utd,Alexander Isak,2,1,34353,33639955,2,0.00102119637199277
12712,13398487,481806188,2319408606,Man Utd,Ipswich,Liam Delap,1,0,32989,33639955,1,0.000980649349857929
12713,13254856,475548636,2292071017,Southampton,Newcastle,Paul Onuachu,1,0,715,33639955,1,2.12544874093916e-05
12714,12627901,444861600,2161661910,Brighton,Nottm Forest,Murillo,1,0,37,33639955,1,1.09988256524124e-06
12715,13770861,504487169,2411328233,Arsenal,Newcastle,Ismeal Kabia,1,0,1,33639955,1,2.97265558173309e-08
12716,12866488,461455208,2232398458,Tottenham,Aston Villa,Leon Bailey,1,0,5,33639955,1,1.48632779086655e-07
12717,13266324,476743974,2297165151,Newcastle,Fulham,Alex Iwobi,1,0,2563,33639955,1,7.61891625598191e-05
12718,13334690,480757749,2314705748,Everton,Man Utd,Bruno Fernandes,2,1,9325,33639955,2,0.000277200132996611
12719,13701667,501754472,2399137315,West Ham,Tottenham,Aaron Cresswell,1,0,4,33639955,1,1.18906223269324e-07
12720,13254856,475548636,2292071048,Southampton,Newcastle,Bruno Guimaraes,1,0,954,33639955,1,2.83591342497337e-05
12721,13840360,506058560,2418085915,Ipswich,West Ham,Niclas Fullkrug,2,1,104,33639955,2,3.09156180500241e-06
12722,13266460,476742437,2297155485,Arsenal,Man City,Kevin De Bruyne,1,0,316,33639955,1,9.39359163827657e-06
12723,13701744,501754223,2399132349,Everton,Ipswich,Luke Woolfenden,1,0,3,33639955,1,8.91796674519927e-08
12724,13177402,473530133,2283487427,Brentford,Man City,Ruben Dias,1,0,1,33639955,1,2.97265558173309e-08
12725,12565926,440573404,1965797527,Bournemouth,Newcastle,Ryan Christie,1,0,237,33639955,1,7.04519372870743e-06
12726,13840363,505914999,2417499489,Newcastle,Everton,Alexander Isak,2,1,7683,33639955,2,0.000228389128344553
12727,12963260,466491829,2253516416,West Ham,Arsenal,Kai Havertz,2,1,1888,33639955,2,5.61237373831208e-05
12728,13331842,480777763,2314794065,Arsenal,West Ham,Aaron Cresswell,1,0,6,33639955,1,1.78359334903985e-07
12729,12804253,460157413,2226914167,Crystal Palace,Tottenham,Archie Gray,1,0,1,33639955,1,2.97265558173309e-08
